FECHA,DELITO,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,MODALIDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CUNDINAMARCA,Bogotá D.C. ,URBANA,MIERCOLES,0:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ARAUCA,Arauca ,URBANA,MIERCOLES,12:00,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CUNDINAMARCA,Bogotá D.C. ,URBANA,MIERCOLES,0:00,ENGAÑO,MASCULINO,A PIE,A PIE,ARMA BLANCA,AMA DE CASA,CASADO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,CUNDINAMARCA,Bogotá D.C. ,URBANA,MIERCOLES,0:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,BOYACÁ,Duitama,URBANA,MIERCOLES,8:00,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,BOYACÁ,Duitama,URBANA,MIERCOLES,8:00,AMENAZA/CHANTAJE,MASCULINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,PUTUMAYO,Valle del Guamuez,URBANA,MIERCOLES,11:00,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,BOYACÁ,Duitama,URBANA,MIERCOLES,0:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NORTE DE SANTANDER,Cúcuta ,URBANA,MIERCOLES,6:00,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,DENTRO DE LA VIVIENDA,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NORTE DE SANTANDER,Cúcuta ,RURAL,MIERCOLES,8:20,AGRESION,FEMENINO,VEHICULO,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VEHICULO,1
1-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VALLE,Roldanillo,URBANA,MIERCOLES,0:00,INTIMIDACION FISICA,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,TOLIMA,Melgar,RURAL,JUEVES,20:00,NO REPORTADA,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
2-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CUNDINAMARCA,Tena,URBANA,JUEVES,15:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,NO DEFINIDO,1
2-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VALLE,Pradera,URBANA,JUEVES,19:38,INTIMIDACION FISICA,FEMENINO,A PIE,A PIE,CONTUNDENTES,EMPLEADO PARTICULAR,U-LIBRE,DENTRO DE LA VIVIENDA,1
2-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,META,San Martín,URBANA,JUEVES,9:30,NO REPORTADA,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,RISARALDA,Pereira ,URBANA,JUEVES,15:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,DESEMPLEADO,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VALLE,Buenaventura,URBANA,JUEVES,17:00,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
2-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CAUCA,Buenos Aires,RURAL,JUEVES,4:00,ENGAÑO,FEMENINO,A PIE,A PIE,LICOR ADULTERADO,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ANTIOQUIA,Apartadó,URBANA,JUEVES,9:17,AGRESION,FEMENINO,A PIE,A PIE,CORTOPUNZANTES,AMA DE CASA,U-LIBRE,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ANTIOQUIA,Puerto Berrío,URBANA,JUEVES,21:41,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,ESCOPOLAMINA,EDUCADOR,CASADO,VIAS PUBLICAS,1
2-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CUNDINAMARCA,Bogotá D.C. ,URBANA,JUEVES,10:50,AGRESION,FEMENINO,A PIE,A PIE,NO REPORTA,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 210 A. ACOSO SEXUAL,VALLE,Cali ,URBANA,JUEVES,18:00,NO REPORTADA,FEMENINO,A PIE,A PIE,LICOR ADULTERADO,INDEPENDIENTE,U-LIBRE,DENTRO DE LA VIVIENDA,1
2-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CAQUETÁ,Florencia ,URBANA,JUEVES,20:30,ENGAÑO,FEMENINO,BICICLETA,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,TOLIMA,Ibagué ,URBANA,JUEVES,16:30,ENGAÑO,MASCULINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,CÓRDOBA,Montería ,URBANA,JUEVES,13:30,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
2-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NORTE DE SANTANDER,Cúcuta ,URBANA,JUEVES,15:00,AGRESION,MASCULINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,DENTRO DE LA VIVIENDA,1
